日期,10年好地区一般债收益率,地方债收益率数据来源,10年国债活跃券收益率,1年国股行NCD利率,10年好地区一般债-10年国债活跃券利差,10年好地区一般债-1年国股行NCD利差,利率数据来源,说明
2022-01-19,3.0255,10Y一般债好老券,2.7314,2.43,29.410000000000025,59.54999999999999,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-01-20,3.0355,10Y一般债好老券,2.7271,2.46,30.83999999999998,57.54999999999999,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-01-21,3.01,10Y一般债好老券,2.71,2.46,29.999999999999982,54.999999999999986,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-01-24,2.9985,10Y一般债好老券,2.6751,2.41,32.33999999999999,58.84999999999998,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-01-25,2.9925,10Y一般债好老券,2.6979,2.425,29.459999999999997,56.750000000000036,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-01-26,3.0284,10Y一般债好老券,2.7146,2.44,31.38000000000001,58.84,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-01-27,3.0273,10Y一般债好老券,2.7348,2.4438,29.25,58.349999999999994,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-01-28,3.0151,10Y一般债好老券,2.7021,2.42,31.299999999999972,59.51,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-01-29,3.0141,10Y一般债好老券,2.7013,2.41,31.28000000000002,60.40999999999998,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-01-30,3.0125,10Y一般债好老券,2.6997,2.41,31.28000000000002,60.25,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-07,3.016,10Y一般债好老券,2.7256,2.455,29.04,56.099999999999994,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-08,3.0166,10Y一般债好老券,2.7227,2.45,29.389999999999983,56.659999999999975,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-09,3.01,10Y一般债好老券,2.7328,2.44,27.719999999999967,56.999999999999986,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-10,3.0242,10Y一般债好老券,2.7328,2.435,29.139999999999986,58.919999999999995,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-11,3.0948,10Y一般债好老券,2.7891,2.455,30.57000000000003,63.98000000000002,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-14,3.0873,10Y一般债好老券,2.8018,2.455,28.549999999999986,63.22999999999999,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-15,3.0964,10Y一般债好老券,2.7968,2.47,29.959999999999987,62.639999999999986,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-16,3.1043,10Y一般债好老券,2.7892,2.465,31.50999999999997,63.93,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-17,3.0856,10Y一般债好老券,2.7799,2.465,30.569999999999986,62.06,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-18,3.0805,10Y一般债好老券,2.7975,2.48,28.29999999999999,60.04999999999998,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-21,3.1052,10Y一般债好老券,2.83,2.51,27.51999999999999,59.52000000000002,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-22,3.127,10Y一般债好老券,2.82,2.52,30.699999999999996,60.699999999999974,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-23,3.1231,10Y一般债好老券,2.79,2.52,33.309999999999995,60.309999999999995,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-24,3.122,10Y一般债好老券,2.7875,2.53,33.44999999999998,59.20000000000001,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-25,3.1242,10Y一般债好老券,2.775,2.53,34.920000000000016,59.42000000000003,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-02-28,3.1299,10Y一般债好老券,2.775,2.53,35.49000000000002,59.99000000000003,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-01,3.1317,10Y一般债好老券,2.8025,2.535,32.91999999999997,59.66999999999998,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-02,3.159,10Y一般债好老券,2.8175,2.545,34.14999999999999,61.39999999999999,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-03,3.16,10Y一般债好老券,2.83,2.57,33.00000000000001,59.00000000000003,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-04,3.1417,10Y一般债好老券,2.8125,2.575,32.920000000000016,56.67,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-07,3.155,10Y一般债好老券,2.8126,2.59,34.23999999999996,56.49999999999999,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-08,3.1539,10Y一般债好老券,2.8276,2.59,32.630000000000024,56.39000000000003,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-09,3.1638,10Y一般债好老券,2.8426,2.6,32.12000000000002,56.38000000000001,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-10,3.172,10Y一般债好老券,2.8502,2.61,32.18000000000001,56.20000000000003,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-11,3.1595,10Y一般债好老券,2.7902,2.61,36.92999999999999,54.95000000000001,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-14,3.1131,10Y一般债好老券,2.7677,2.57,34.54000000000001,54.31000000000004,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-15,3.135,10Y一般债好老券,2.8177,2.625,31.72999999999999,50.99999999999998,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-16,3.137,10Y一般债好老券,2.7952,2.61,34.18000000000001,52.70000000000002,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-17,3.1685,10Y一般债好老券,2.7876,2.61,38.09,55.85,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-18,3.1541,10Y一般债好老券,2.7927,2.59,36.140000000000015,56.410000000000025,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-21,3.1451,10Y一般债好老券,2.8127,2.585,33.23999999999998,56.009999999999984,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-22,3.1422,10Y一般债好老券,2.8302,2.61,31.19999999999998,53.22,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-23,3.1381,10Y一般债好老券,2.8302,2.61,30.790000000000006,52.810000000000024,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-24,3.1441,10Y一般债好老券,2.8052,2.61,33.88999999999997,53.410000000000004,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-25,3.1394,10Y一般债好老券,2.7972,2.6,34.220000000000006,53.94000000000001,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-28,3.1439,10Y一般债好老券,2.7903,2.605,35.360000000000014,53.88999999999999,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-29,3.1529,10Y一般债好老券,2.7853,2.605,36.75999999999999,54.789999999999985,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
2022-03-30,3.135,10Y一般债好老券,2.7703,2.59,36.469999999999956,54.49999999999999,地方债=10Y一般债好老券；国债=10年国债活跃券收益率_RQData_2020至今.csv；NCD=1年NCD_中债商业银行同业存单到期收益率(AAA)1年_自2020.csv,地方债收益率取时间序列；10年国债优先取RQData、其次Choice EDB；NCD优先取Choice导出的中债商业银行同业存单到期收益率(AAA):1年；缺文件时回退旧Choice文件或地方债利差数据(1).xlsx。利差=收益率差*100BP。
